	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Mrps14	7	5	1	9	12
Cacybp	2	1	1	1	7
Rabgap1l	0	1	0	1	2
Rc3h1	1	0	1	1	2
Gm37052	0	0	0	1	0
Zbtb37	0	3	0	0	4
Gas5	18	9	13	29	22
Dars2	0	0	0	2	1
Cenpl	0	0	0	0	0
Klhl20	1	0	0	0	0
Ankrd45	0	0	0	0	1
Prdx6	7	7	5	9	13
Gm15429	0	0	0	1	0
Suco	0	2	1	3	0
Pigc	0	0	0	1	0
Dnm3	3	0	0	2	2
Gm10176	0	0	1	0	0
Mettl13	0	0	0	0	0
Vamp4	0	1	1	4	2
Myoc	0	1	0	1	0
Prrc2c	2	2	0	5	7
Fmo1	0	1	0	0	2
Prrx1	0	2	0	0	1
Gorab	0	0	0	0	0
Rpsa-ps1	0	1	0	1	0
Kifap3	6	2	0	0	3
Scyl3	1	2	1	0	1
Sell	0	0	0	3	2
Ccdc181	0	0	1	1	0
Blzf1	1	1	0	1	1
Nme7	0	0	0	0	0
Atp1b1	16	10	4	5	0
Dpt	0	3	3	2	1
Sft2d2	0	2	1	3	1
Tiprl	2	0	3	0	3
Dcaf6	1	0	0	2	1
Mpc2	7	9	7	4	4
Mpzl1	0	1	0	2	3
Rcsd1	0	0	0	0	1
Creg1	1	2	1	1	8
Pou2f1	1	1	0	1	1
Ildr2	0	1	0	0	2
Tada1	0	1	0	0	1
Pogk	0	0	0	0	4
Gm16418	1	1	3	2	1
Uck2	0	1	0	1	2
Tmco1	1	0	2	3	8
Aldh9a1	0	1	2	7	2
Mgst3	1	5	10	6	3
Rxrg	1	0	0	0	0
Lmx1a	1	0	0	0	0
Pbx1	0	3	4	12	12
Rgs5	1	3	2	5	5
Rgs4	0	0	0	0	0
Ccdc190	1	0	0	0	0
Hsd17b7	0	3	1	1	2
Ddr2	2	0	1	0	0
Uap1	0	1	1	0	0
Uhmk1	2	2	4	1	0
Nos1ap	0	0	0	0	2
Olfml2b	0	0	0	0	3
Atf6	0	0	0	1	1
Dusp12	0	0	0	1	2
Gm2962	1	0	0	1	0
Fcgr2b	0	0	0	1	1
Fcgr3	1	0	1	1	2
Cfap126	0	0	0	0	0
Sdhc	1	1	0	2	3
Pcp4l1	0	1	0	4	4
Tomm40l	2	0	0	1	2
Apoa2	0	0	0	0	0
Fcer1g	1	1	1	9	5
Ndufs2	3	11	4	14	10
Adamts4	0	1	0	0	1
B4galt3	1	1	2	0	1
Ppox	1	0	2	3	4
Usp21	1	0	0	0	3
Ufc1	2	6	2	1	7
Rpl27-ps1	0	0	0	0	0
Gm20045	0	0	0	0	1
Dedd	1	1	0	1	2
Nit1	2	1	0	0	4
Pfdn2	7	1	7	7	12
Klhdc9	0	0	0	1	1
Usf1	0	1	0	2	1
Tstd1	0	0	0	0	1
F11r	0	2	0	4	4
Alyref2	1	0	0	0	0
Ly9	0	0	0	1	1
Cd48	0	0	1	1	1
Tma7-ps	0	1	1	5	2
Vangl2	0	0	1	1	0
Ncstn	1	0	0	2	2
Copa	0	3	0	9	5
Pex19	1	4	2	6	4
Dcaf8	3	3	5	5	9
Pea15a	16	9	13	10	13
Casq1	0	0	2	0	0
Igsf8	2	1	3	3	2
