	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Krt10	15	46	39	26	52	38	39
Gm11940	0	0	2	0	1	1	0
Krt12	2	1	1	2	9	3	1
A830036E02Rik	3	0	0	0	0	0	0
Krt20	12	29	13	17	40	25	12
Krt23	0	0	0	0	0	0	1
Gm11557	0	0	2	0	1	1	1
Gm26324	0	0	0	0	0	1	1
Gm11560	51	108	93	47	64	64	90
Krt36	0	0	1	0	0	1	0
Krt15	0	0	0	0	1	1	0
Krt19	31	63	45	52	83	109	72
Krt14	0	0	0	0	1	1	1
Gm11598	11	17	17	15	27	18	23
Krt17	0	0	0	0	0	0	0
Gm12349	1	6	4	0	0	3	1
Eif1	557	864	972	799	1342	1151	874
Hap1	10	17	18	6	17	19	13
Gm10039	105	136	169	89	124	111	100
Jup	42	77	83	65	113	98	61
P3h4	109	189	182	191	304	232	193
Fkbp10	88	127	168	121	172	134	92
Nt5c3b	123	213	218	185	279	216	174
Klhl10	1	1	5	4	7	3	2
Klhl11	8	12	20	4	13	13	8
Acly	174	325	409	300	739	582	418
Ttc25	3	5	4	2	3	3	9
Cnp	38	42	66	28	46	40	39
D0jc7	149	258	305	216	342	270	214
Nkiras2	51	63	54	54	86	82	72
Zfp385c	1	1	0	0	0	1	0
Dhx58os	0	3	3	0	0	0	2
Dhx58	3	14	8	5	8	10	8
Kat2a	32	48	71	57	74	60	62
Hspb9	1	0	0	1	0	0	0
Rab5c	143	217	284	169	295	255	216
Kcnh4	0	0	0	0	1	0	1
Hcrt	0	0	0	0	0	0	0
Ghdc	24	43	22	33	38	44	18
Stat5b	55	80	84	92	107	106	70
Stat5a	38	70	100	94	112	53	81
Stat3	123	129	145	139	192	164	128
Cavin1	203	322	351	284	342	360	366
Atp6v0a1	47	101	127	83	150	93	92
Mir6928	0	0	0	0	0	0	0
0glu	51	116	122	68	161	125	93
Hsd17b1	269	502	461	466	615	751	456
Coasy	114	159	184	146	199	161	161
Mlx	57	79	109	64	117	98	92
Psmc3ip	21	24	39	36	47	42	30
Retreg3	72	88	101	80	111	115	99
Tubg1	57	74	106	65	134	93	81
Gm27626	0	1	0	0	0	0	0
Tubg2	10	6	9	5	18	14	14
Plekhh3	11	13	13	7	15	20	19
Cnt0p1	5	14	15	13	15	12	17
Ccr10	1	2	4	3	1	0	0
Ezh1	43	75	70	45	89	72	56
Ramp2	90	138	157	117	189	165	148
Vps25	2	5	3	1	1	1	3
Wnk4	10	11	12	7	10	16	10
Coa3	122	187	248	142	264	218	187
Cntd1	1	4	2	1	2	1	4
Becn1	100	181	187	140	213	166	150
Psme3	46	82	89	61	93	109	94
Aoc2	0	10	13	7	9	8	10
Aoc3	78	139	165	82	116	98	129
Gm11619	0	0	0	1	0	0	0
G6pc	0	0	1	1	0	0	2
Gm27029	1	0	0	0	2	0	1
Aarsd1	6	8	12	10	11	10	12
Ptges3l	2	6	8	2	5	6	6
Mir6929	0	0	0	0	0	0	0
Rundc1	24	43	40	29	56	48	43
Rpl27	1224	1776	1996	1576	2300	2051	1954
Ifi35	53	106	117	59	123	104	77
Vat1	60	75	100	89	123	92	104
Rnd2	43	73	72	52	71	57	57
Gm11625	1	1	1	2	0	1	3
Brca1	9	10	13	12	15	17	9
Nbr1	117	197	171	147	239	214	167
Tmem106a	19	23	40	21	20	24	19
Gm26316	3	9	5	7	7	13	17
Rdm1	42	72	73	48	126	65	62
Gm23849	5	17	8	10	6	6	6
Gm24950	2	4	3	7	1	2	7
Gm23971	0	0	0	0	0	1	0
Rnu2-10	1	0	0	2	0	1	0
Arl4d	1	5	7	5	12	15	18
Dhx8	31	45	54	36	60	55	53
Etv4	2	2	1	1	0	3	2
Meox1	8	12	4	5	9	11	6
Gm11551	0	2	1	0	0	2	0
Rpl27-ps2	0	1	0	2	3	2	3
Sost	0	0	0	0	1	0	1
Gm20659	4	2	5	3	7	3	7
Dusp3	39	58	75	57	95	85	63
Mpp3	9	19	27	22	33	28	18
E130111B04Rik	0	5	3	9	5	5	3
Cd300lg	5	18	15	10	40	38	17
Mpp2	6	7	8	5	9	8	5
Gm11585	9	19	11	9	29	18	18
0gs	4	7	2	8	12	7	6
Gm11586	2	0	2	2	1	1	1
Tmem101	67	75	87	76	104	98	79
Lsm12	50	90	86	77	128	122	87
G6pc3	47	98	96	77	116	113	75
Hdac5	53	91	75	62	82	97	69
BC030867	8	7	10	3	11	7	10
Tmub2	68	91	103	89	141	123	85
Atxn7l3	32	62	66	74	77	62	70
Ubtf	88	161	157	157	222	164	142
Slc4a1	0	0	0	0	0	1	0
Rundc3a	3	7	4	1	2	6	6
Slc25a39	214	344	385	287	529	442	337
Grn	278	464	534	354	552	415	328
Fam171a2	10	21	22	15	19	18	13
Itga2b	3	9	8	8	10	6	8
Gm23563	0	0	0	0	1	0	0
Gpatch8	61	113	106	85	119	110	92
Gm11628	13	29	24	13	47	24	41
Mdk-ps1	2	2	0	2	6	2	0
Gm25337	0	1	1	0	1	1	1
Gm11627	2	5	10	8	11	6	7
Fzd2	11	27	42	29	48	45	46
Gm11636	0	0	0	1	0	0	0
2810433D01Rik	5	4	6	6	8	6	6
Psmb5-ps	0	0	1	0	0	0	1
Ccdc43	19	35	45	34	60	52	36
Adam11	2	4	2	3	0	1	2
Gjc1	13	26	21	15	20	27	24
Higd1b	3	11	11	12	18	9	14
Eftud2	76	133	157	106	158	147	122
Gm26668	0	1	0	0	1	0	0
Ccdc103	2	3	3	4	3	3	3
Gfap	0	1	0	1	0	1	1
Kif18b	7	4	3	5	13	9	10
2410004I01Rik	0	0	0	0	1	1	0
Dcakd	77	116	144	81	163	121	106
Nmt1	133	251	266	196	320	278	255
Plcd3	8	8	13	12	10	11	8
Acbd4	13	27	26	13	35	30	31
Hexim1	50	102	110	84	141	127	82
Hexim2	11	15	17	6	15	16	19
Fmnl1	0	6	11	3	4	3	5
1700023F06Rik	0	0	0	1	0	0	0
Map3k14	8	11	13	12	19	9	6
1700028N14Rik	0	0	0	2	0	1	1
Arhgap27	9	7	16	12	15	8	15
Arhgap27os3	0	0	0	0	1	0	0
Arhgap27os2	0	3	5	1	1	0	1
Arhgap27os1	0	3	2	0	5	0	1
Plekhm1	13	21	25	19	37	33	26
Gm39397	0	0	0	0	0	0	0
Gm11643	0	0	0	1	0	0	0
Rprml	1	0	0	0	0	0	0
Gosr2	68	102	135	87	149	135	103
C130046K22Rik	0	3	4	1	3	0	0
Gm11642	0	1	0	0	0	0	0
Wnt9b	0	0	1	0	1	0	0
Nsf	41	61	65	46	66	58	46
Gm8738	6	0	7	1	4	1	5
Arf2	42	67	69	71	87	79	73
Crhr1	0	3	3	0	1	1	1
Mapt	4	6	21	17	20	14	14
Gm11659	0	0	0	0	0	0	0
Kansl1	60	104	96	85	120	88	99
Cdc27	53	87	90	81	111	95	61
Myl4	5	4	8	11	12	4	16
Gm22000	1	3	4	2	1	1	4
Gm11663	0	1	0	0	0	1	0
Itgb3	93	201	195	175	149	89	133
Gm11662	0	0	1	2	7	1	2
Gm11639	2	7	10	6	3	3	4
Efcab3	0	0	2	0	0	0	0
Mettl2	46	66	73	70	82	69	58
1700052K11Rik	7	10	14	12	15	12	8
Tlk2	55	113	101	83	123	119	92
Mrc2	16	24	15	21	27	25	23
10-Mar	4	8	9	2	1	7	9
Gm11638	3	3	4	2	6	4	3
Tanc2	161	279	250	210	250	243	215
Gm11652	3	8	10	5	13	5	8
Gm11653	1	2	3	3	5	2	4
Cyb561	13	17	19	21	41	37	37
Gm9910	1	0	3	1	1	3	0
Gm11651	0	0	1	0	0	0	2
Ace	23	27	41	19	36	24	29
Kcnh6	0	0	1	0	0	1	0
Dcaf7	50	81	87	81	126	85	81
Gm11646	2	0	0	0	0	0	1
Taco1os	4	9	6	7	4	8	3
Taco1	26	15	35	15	43	31	27
Map3k3	39	85	62	53	71	46	53
Gm11672	0	2	0	1	1	0	4
Limd2	20	62	49	48	68	53	36
Strada	31	55	59	41	49	43	34
Ccdc47	91	160	202	177	234	211	171
Ddx42	73	93	102	93	154	113	112
Ftsj3	69	103	104	96	144	90	92
Psmc5	224	378	453	366	528	452	421
Gm23645	1	2	6	2	6	2	1
Smarcd2	33	50	52	48	58	66	43
Tcam1	0	0	0	0	0	1	0
Gh	2	0	0	0	0	0	0
Cd79b	4	4	7	2	6	6	4
Prr29	0	0	0	0	0	0	0
Icam2	15	33	34	29	60	37	36
Ern1	35	94	82	58	82	71	65
Snord104	68	81	108	100	138	109	127
Tex2	26	35	45	31	76	47	46
Pecam1	41	69	69	52	112	80	65
Milr1	4	2	10	7	11	6	4
Gm25889	0	0	0	0	0	0	2
Polg2	12	20	24	18	26	12	23
Ddx5	738	1105	1253	1056	1456	1243	1032
Cep95	33	52	53	53	49	43	44
Gm11706	0	1	0	0	0	0	0
Smurf2	61	96	90	76	125	87	79
Gm11707	0	0	1	0	0	1	0
Kp02	92	135	158	151	216	229	140
Gm11708	0	0	0	0	1	0	0
1810010H24Rik	3	4	6	2	7	3	5
Bptf	140	273	261	246	288	276	202
Nol11	52	97	81	78	129	97	61
Rps12-ps26	0	0	0	0	0	0	1
Gm11718	0	0	0	0	1	1	0
Pitpnc1	27	44	42	47	79	49	48
Gm11716	1	1	0	0	0	1	0
Gm11713	0	1	2	1	4	3	1
Psmd12	118	182	244	188	298	239	187
Gm11722	1	2	2	1	0	2	2
Helz	68	105	114	91	117	96	88
Mir6932	0	0	0	0	0	0	1
Cacng1	0	0	0	0	0	0	0
Cacng4	3	2	6	2	3	3	3
Cacng5	2	0	0	1	0	1	3
Prkca	20	19	35	28	26	24	16
Gm11655	0	0	0	0	0	0	0
Apoh	1	5	4	5	0	3	5
Cep112	9	14	11	13	23	20	10
Cep112os1	1	0	0	0	1	0	0
Rpl23a-ps14	1	0	0	0	0	0	0
Cep112it	0	1	0	1	1	0	1
Axin2	16	34	38	20	30	34	22
Gm11670	0	2	0	1	0	1	1
E030025P04Rik	1	0	0	0	2	1	0
Gm11658	0	1	0	0	0	1	0
Rgs9	4	3	7	4	8	7	7
Gm11696	2	6	2	2	8	4	4
G013	97	136	170	124	223	174	172
Amz2	62	103	128	94	135	95	95
Slc16a6	4	6	5	5	18	12	8
Arsg	5	12	4	3	11	14	5
Gm22378	0	0	0	0	0	0	0
Wipi1	161	279	277	195	296	258	223
Gm11685	1	1	1	0	0	0	0
Prkar1a	551	843	938	770	1026	849	735
Fam20a	7	14	15	10	16	22	14
Abca8b	2	8	4	8	9	7	4
Abca8a	19	53	32	38	61	61	42
Abca9	18	47	50	17	44	26	29
Abca6	3	4	11	9	14	16	10
Abca5	8	10	16	15	9	12	15
Map2k6	5	25	19	18	24	29	10
Kcnj16	0	0	2	3	38	6	0
Kcnj2	0	1	2	2	4	4	2
Gm11675	13	15	14	18	24	18	14
BC006965	0	2	1	0	0	0	0
Sox9	10	12	11	12	10	11	17
2610035D17Rik	19	42	36	16	23	6	11
4732490B19Rik	0	0	0	0	2	0	0
Slc39a11	25	43	50	28	60	49	44
Gm16487	0	0	0	0	1	0	0
Sstr2	2	2	1	2	4	2	3
Cog1	33	58	61	30	54	58	61
Fam104a	68	142	133	137	197	146	113
D11Wsu47e	24	37	36	30	47	44	40
Cpsf4l	34	31	25	23	51	53	29
Cdc42ep4	30	56	50	45	61	52	68
Sdk2	1	5	2	1	6	4	1
1700092K14Rik	0	0	1	0	0	0	0
4932435O22Rik	0	0	1	0	3	0	0
Gm11689	2	4	6	3	1	2	4
Rpl38	1952	2569	2676	2497	2968	3002	3046
Ttyh2	79	113	127	127	212	146	152
D0ic2	1	0	2	0	1	1	0
Kif19a	2	2	0	0	0	2	0
Btbd17	0	0	0	0	0	0	0
Gprc5c	8	12	11	13	17	18	12
Cd300a	20	32	34	22	22	14	12
Cd300lb	1	4	2	2	1	1	2
Cd300c	0	0	0	0	0	0	0
Cd300ld	7	10	8	6	11	4	7
Cd300c2	12	18	20	12	19	14	7
Cd300ld4	1	0	0	1	0	0	0
Cd300ld5	0	0	0	0	0	1	0
Cd300ld3	1	1	1	0	1	1	1
Cd300e	0	0	0	0	0	1	0
Rab37	0	0	0	1	0	1	1
Cd300lf	2	5	6	0	2	0	0
Slc9a3r1	36	66	66	39	73	58	44
0t9	60	64	91	56	115	102	80
Tmem104	27	45	51	22	35	47	36
Grin2c	3	8	6	8	8	8	3
Fdxr	419	724	799	553	923	673	545
Fads6	69	112	112	103	177	159	123
Ush1g	6	16	19	11	16	14	12
Hid1	3	4	10	2	9	12	27
Cdr2l	17	25	24	17	22	23	33
Mrpl58	131	263	272	219	333	295	247
Ict1os	0	0	0	0	0	0	1
Atp5h	613	1067	1179	913	1374	1227	977
Kctd2	36	63	74	50	65	55	59
Trim80	2	0	0	1	4	0	0
Gm11695	0	1	0	0	1	3	0
Slc16a5	1	0	1	1	2	0	0
Armc7	12	7	14	9	20	9	11
Nt5c	92	172	217	134	245	188	127
Gm11694	0	0	1	0	0	1	2
Jpt1	147	259	252	213	387	297	168
Sumo2	232	410	430	294	608	424	380
Nup85	44	78	100	99	125	85	73
Gga3	22	27	43	24	57	29	35
Mrps7	96	147	157	143	216	170	132
Mif4gd	44	48	64	52	92	70	60
Slc25a19	42	67	68	33	110	58	53
Gm26613	0	0	2	0	1	0	0
Grb2	59	102	99	70	132	103	93
Gm11702	0	0	1	0	0	1	0
Gm11703	1	3	2	8	8	11	9
Tmem94	21	37	35	34	65	39	35
Caskin2	18	22	39	35	44	52	28
Tsen54	10	26	27	27	39	28	25
Llgl2	12	24	20	20	18	24	20
Myo15b	6	19	9	5	16	8	3
Recql5	10	30	33	25	37	19	23
Smim5	5	5	3	2	10	5	7
Smim6	1	2	0	0	0	1	0
Recql5os1	2	1	1	0	0	1	1
Sap30bp	57	85	68	62	97	79	74
Sap30bpos	2	2	2	2	1	2	2
Itgb4	2	6	6	0	4	7	5
B230344G16Rik	0	0	0	0	0	0	0
Galk1	82	144	178	123	172	166	123
H3f3b	696	1424	1356	1210	1827	1535	1103
Unk	37	47	55	49	58	59	58
Unc13d	13	25	21	16	97	49	15
Wbp2	133	240	249	177	342	238	167
Trim47	18	21	30	28	30	25	21
Trim65	5	8	15	18	24	12	7
Mrpl38	62	101	120	83	143	96	73
Fbf1	30	41	43	35	53	44	35
Acox1	62	84	71	64	142	124	86
Ten1	73	116	113	114	155	120	128
Cdk3-ps	0	1	2	1	1	0	0
Evpl	2	4	3	2	3	6	3
Srp68	71	151	145	97	159	128	111
Galr2	2	2	1	0	1	2	1
Exoc7	43	89	85	58	111	81	68
Gm26730	0	0	1	0	0	0	1
Foxj1	0	0	0	0	0	0	2
Rnf157	3	6	16	9	8	4	16
Rps11-ps2	178	235	196	235	331	349	325
Ubald2	47	82	84	57	70	56	42
Qrich2	0	0	0	1	0	0	0
Gm11739	2	3	2	1	2	1	3
Prpsap1	134	228	196	183	242	184	132
Gm29292	1	4	1	1	1	1	1
Sphk1	11	15	17	11	19	17	8
Ube2o	30	47	41	43	51	47	33
Aa0t	0	1	1	0	0	0	0
Rhbdf2	15	31	38	28	36	22	30
Cygb	112	176	167	158	264	287	165
Prcd	87	155	202	86	197	121	133
1810032O08Rik	38	44	20	25	59	52	47
St6gal0c2	9	13	16	20	21	13	22
BC018473	0	0	0	0	0	0	0
Mxra7	25	43	51	41	52	63	50
Jmjd6	33	48	66	55	77	56	60
Mettl23	112	189	210	144	186	122	108
Srsf2	88	145	194	152	172	168	144
Mfsd11	35	46	37	47	71	49	60
Mgat5b	1	0	2	0	0	1	0
Snhg20	123	162	196	129	214	152	170
Gm11730	2	3	5	3	14	4	5
Sec14l1	104	160	163	124	180	177	167
Gm22667	0	1	0	0	0	0	0
Gm11745	0	1	0	1	1	0	0
09-Sep	87	121	136	142	175	142	115
Gm16045	4	7	11	6	4	2	6
Gm8624	34	52	53	62	128	100	85
Gm34418	0	0	0	0	0	0	0
Gm11734	7	9	10	5	0	2	3
2900041M22Rik	0	1	4	3	2	2	1
Tnrc6c	43	70	65	78	85	75	58
Tmc6	30	54	63	47	67	45	64
Tmc8	0	1	2	1	7	0	6
Gm11724	0	0	0	0	1	2	1
Syngr2	54	79	94	64	147	86	102
Gm20708	0	0	0	1	0	0	0
Tk1	29	47	28	18	60	45	31
Afmid	7	5	8	2	9	5	6
Birc5	39	81	92	71	123	127	72
Tha1	19	28	27	13	48	33	25
Gm11725	0	1	0	0	0	0	0
Socs3	15	17	26	18	18	29	16
Pgs1	46	60	63	55	97	59	66
D0h17	3	7	0	5	6	3	6
Gm11738	0	0	0	0	0	1	0
Cyth1	7	32	21	20	25	35	26
Gm11737	0	0	0	0	0	0	0
Usp36	37	51	37	42	47	51	43
Timp2	142	256	272	229	267	298	251
Cep295nl	0	0	1	0	0	1	0
Lgals3bp	74	166	104	70	157	145	71
Cant1	44	57	66	65	85	80	69
C1qtnf1	23	29	35	31	65	54	31
Gm11747	0	0	0	0	0	1	1
Engase	3	4	4	8	6	4	4
Rbfox3	4	5	6	10	19	9	6
Cbx2	5	19	24	15	22	23	19
Cbx8	11	16	24	21	36	20	27
Gm26508	0	0	0	0	0	0	1
Cbx4	38	56	69	51	71	57	57
Tbc1d16	20	42	31	23	42	42	35
Ccdc40	0	0	0	3	0	0	0
Gaa	107	176	177	155	212	159	165
Eif4a3	154	262	310	242	358	307	291
Card14	1	0	2	3	1	1	0
Sgsh	23	37	34	31	56	35	32
Slc26a11	19	31	24	23	34	26	16
Rnf213	116	186	155	150	199	171	130
A930037H05Rik	5	14	9	10	10	7	5
Endov	27	32	37	34	42	47	36
Nptx1	0	0	0	0	3	1	5
Rptor	43	50	45	48	60	51	58
Rptoros	0	0	0	0	0	0	0
Chmp6	55	77	105	58	112	84	77
Gm11767	0	1	0	0	0	1	0
Baiap2	38	48	66	43	57	55	58
Aatk	1	1	6	6	18	10	0
Mir338	0	0	1	0	1	1	1
Cep131	13	17	21	12	16	18	14
Tepsin	14	26	30	17	29	21	28
Ndufaf8	132	201	214	165	253	247	183
Slc38a10	86	112	160	130	181	193	121
Gm11769	2	8	8	2	11	7	4
2810410L24Rik	22	29	27	23	33	16	20
Gm11770	0	0	0	0	1	0	0
2900052L18Rik	2	5	0	4	7	6	4
Bahcc1	16	13	18	20	40	18	25
Gm11772	0	1	3	0	0	2	0
Actg1	842	1342	1513	1147	1656	1189	1277
0610009L18Rik	8	6	10	7	15	12	13
Fscn2	1	0	0	1	1	1	0
Faap100	25	27	29	34	46	44	41
Nploc4	43	53	74	53	81	68	60
Tspan10	0	0	0	0	0	0	0
Pde6g	1	3	3	0	0	2	2
Oxld1	13	40	30	25	45	32	41
Ccdc137	28	40	51	33	51	36	33
Arl16	27	58	52	41	67	45	47
Mrpl12	131	189	219	166	286	197	226
Gm16755	0	0	1	0	0	0	0
Gm11788	0	0	0	1	1	0	0
Slc25a10	32	57	62	43	71	66	66
Gm11789	2	0	1	0	0	1	1
Gcgr	0	2	3	4	3	4	1
Mcrip1	81	121	137	95	145	114	124
Ppp1r27	0	1	0	2	0	0	0
P4hb	427	774	806	653	923	736	745
Arhgdia	277	441	474	380	578	472	456
Gm3807	0	0	0	0	0	0	0
Alyref	44	70	67	51	89	89	59
A0pc11	222	301	375	280	512	428	378
Npb	0	0	0	2	19	7	3
Pcyt2	121	124	159	104	329	172	175
Sirt7	56	67	74	52	88	48	66
Mafg	95	119	122	101	148	103	123
Gm17586	4	3	8	7	6	6	5
Pycr1	1	2	8	4	1	1	7
Notum	0	0	2	1	2	1	2
Aspscr1	63	91	99	92	131	99	89
Gm17178	1	0	0	0	0	0	0
Cenpx	116	195	235	180	278	228	209
Lrrc45	46	63	71	46	73	71	63
Rac3	10	22	22	14	23	19	20
Dcxr	33	36	65	39	54	65	50
Cbr2	12	18	31	10	28	20	21
Hmga1b	6	9	4	12	19	14	21
Gm11771	0	0	1	0	0	1	1
Rfng	12	21	21	20	22	19	12
Gps1	133	190	250	171	233	207	205
Dus1l	37	70	85	77	93	77	57
Fasn	96	188	327	144	227	191	383
Ccdc57	17	16	28	19	33	17	23
Gm11773	0	0	0	0	0	0	0
Slc16a3	11	23	27	17	22	19	18
Csnk1d	148	215	244	192	320	238	216
Gm28192	1	2	1	1	2	1	1
Cd7	7	16	8	8	10	7	17
Sectm1b	7	19	17	19	24	24	14
Sectm1a	4	7	8	2	5	12	3
Gm11791	0	1	0	0	0	0	0
Gm11793	5	12	8	4	11	6	10
Tex19.2	0	1	0	0	2	1	1
Tex19.1	5	6	5	1	6	8	4
Ogfod3	40	56	72	55	86	105	62
Hexdc	22	31	28	32	37	33	30
BC017643	40	47	64	59	83	56	44
0rf	24	58	54	37	61	48	42
Foxk2	42	49	67	66	97	61	61
Wdr45b	78	115	91	96	150	120	98
Rab40b	1	9	9	0	6	9	3
Fn3krp	2	8	5	4	7	6	4
Fn3k	1	3	3	8	2	4	6
Tbcd	39	74	77	65	81	62	48
Zfp750	1	1	1	4	5	3	3
B3gntl1	22	30	26	25	32	34	27
Metrnl	77	117	87	89	124	92	127
Gm12589	2	4	1	1	3	6	3
Ptchd3	0	0	0	0	0	2	0
Gm12587	0	0	0	0	0	0	1
Gm4900	0	1	0	2	3	0	1
Gm9616	86	181	138	150	218	220	209
Gm8616	1	0	0	1	0	1	0
Gm16505	0	0	0	0	0	0	0
2810429I04Rik	2	1	5	1	4	1	2
Gdi2	245	476	484	461	641	527	425
Gm48838	4	5	2	6	7	3	6
Fam208b	24	46	50	51	69	37	45
Asb13	23	53	43	41	53	38	30
Gm47695	0	0	0	0	0	0	0
Calml3	0	0	0	0	0	0	0
Net1	66	117	128	88	170	124	117
Gm47813	0	1	0	0	0	0	0
Tubal3	0	0	0	0	2	1	0
Akr1c14	177	399	301	296	698	535	224
Gm47904	1	2	0	1	2	1	0
Gm47905	1	1	0	0	2	1	0
Akr1c18	1604	963	847	765	4514	5153	4792
Gm47925	0	0	0	0	2	2	1
Akr1c13	13	24	32	18	20	24	19
Akr1c19	8	6	7	6	16	17	5
Akr1c12	1	2	2	1	2	1	1
Akr1c6	0	2	2	4	2	1	4
Akr1c21	2	2	3	0	1	8	3
Akr1e1	60	98	124	83	133	92	92
Rpl29-ps2	6	8	9	4	5	4	8
Gm47450	0	0	0	0	0	0	0
Gm47451	0	1	0	0	0	0	0
AC133498.1	2	0	1	1	2	1	0
Klf6	78	136	120	74	125	116	111
Gm46401	1	0	0	1	5	1	1
Gm47514	0	0	0	0	0	0	0
Pitrm1	108	203	214	158	251	166	131
Pfkp	43	89	81	60	92	90	65
Gm10029	22	21	29	26	26	26	35
CT010465.1	0	0	0	0	1	0	1
Gm8725	0	0	0	0	2	1	0
Gm5191	2	3	1	1	2	1	2
Adarb2	0	3	1	0	2	1	0
Gm10357	2	1	2	0	4	2	0
Wdr37	26	52	57	55	79	69	54
Gm48375	4	1	3	6	11	5	4
Gm48374	0	0	1	0	1	0	0
Gm48574	0	0	0	1	0	0	0
Idi1	33	53	56	61	258	113	85
Gm22750	0	0	1	0	0	0	0
Rpl10a-ps2	1	0	1	0	0	0	0
Gtpbp4	61	115	151	109	169	149	126
Gm48649	1	1	0	0	1	1	1
Gm36264	0	0	0	0	0	1	0
Larp4b	106	211	216	174	273	224	165
Gm23553	0	0	0	0	1	1	1
Gm28155	0	0	0	0	0	0	0
Gm8784	3	2	3	0	0	1	3
Dip2c	27	56	46	41	47	46	37
Gm48887	2	4	1	5	4	2	4
Gm48890	6	8	13	14	14	8	12
Gm48870	6	9	5	4	9	6	4
Gm48869	0	2	3	1	0	0	0
Gm26601	6	13	14	6	10	16	10
Gm48889	1	5	8	10	4	9	7
Gm48871	0	0	0	2	1	0	0
Gm48872	0	0	4	0	4	1	3
Gm48888	3	1	6	2	0	3	0
Gm36423	0	0	1	0	2	0	0
Zmynd11	78	131	135	124	169	158	93
Gm47802	0	1	0	0	0	1	1
Gm47826	1	0	4	0	1	2	0
Gm24187	2	4	1	2	1	1	5
Chrm3	1	3	4	2	2	3	6
Gm47411	0	1	0	0	0	1	0
Gm47405	0	0	0	0	0	2	0
Gm47407	0	0	0	0	0	0	0
Zp4-ps	2	3	0	2	5	2	1
Ryr2	12	21	20	17	21	18	13
Gm47494	0	0	1	0	0	2	0
Gm47493	1	3	5	5	2	2	3
Gm16419	0	0	0	0	0	0	0
Gm47322	1	7	4	2	4	4	2
Mtr	45	82	73	43	93	53	50
Gm47021	0	0	1	3	1	0	1
Actn2	0	0	2	2	0	0	0
Gm5445	23	26	28	17	16	23	19
Heatr1	27	35	43	32	36	34	39
Gm5928	0	2	1	2	4	1	4
Lgals8	41	68	84	66	108	75	70
Edaradd	0	0	1	1	1	3	0
Gm30239	0	0	0	1	1	0	0
Ero1lb	40	91	87	72	74	79	67
Gpr137b-ps	25	43	29	19	52	34	26
Gm48455	1	0	0	0	0	0	1
Gm2399	0	0	4	1	0	1	0
Gm7042	1	2	3	1	1	1	3
Prl2c3	0	0	0	3	1	2	0
Gm2423	29	35	42	28	74	51	34
Gm5374	1	1	2	0	3	4	3
Gm18562	1	1	1	2	2	2	1
Gpr137b	9	17	14	20	23	20	12
Gm7426	0	0	0	0	0	1	0
Nid1	106	182	179	153	229	232	169
Gm48682	6	1	4	1	1	1	1
Gm48783	0	0	0	1	0	0	0
Lyst	21	38	32	26	38	29	35
Gng4	1	0	1	0	3	3	0
Gm47882	1	1	0	1	0	0	0
Gm7446	15	30	18	21	36	36	18
B3galnt2	44	61	50	63	66	51	49
Gm18856	0	0	0	0	1	0	0
Tbce	53	89	76	58	111	78	72
Ggps1	41	86	88	71	103	75	58
Arid4b	83	213	166	185	202	193	158
Gm26129	0	0	1	0	0	0	0
Gm48027	3	4	4	4	4	4	3
Hecw1	0	0	1	0	1	0	1
Gm32526	0	0	0	0	0	1	2
Mrpl32	101	179	194	135	238	205	187
Psma2	432	761	847	656	1012	936	783
AW209491	27	62	50	66	83	44	33
Gm48338	0	2	0	1	1	3	1
Gm9512	35	62	49	66	55	80	82
Gm6556	0	0	0	0	0	0	1
Gm26645	0	2	0	0	2	1	0
Gli3	5	9	8	6	7	8	11
A530046M15Rik	0	1	1	0	0	0	0
B230303A05Rik	0	0	0	0	1	0	0
Inhba	753	1553	1467	1075	988	1362	1068
Gm6562	0	0	0	1	0	0	2
Gm48493	1	0	0	0	0	0	0
Gm48496	0	0	2	0	2	0	0
Sugct	16	26	23	25	33	37	27
Gm48503	0	1	0	0	0	0	0
Gm24873	1	1	0	0	0	0	1
Mplkip	21	57	57	42	40	41	39
Gm48621	0	1	0	0	1	1	0
Cdk13	40	96	84	94	135	93	86
8430406P12Rik	0	4	6	3	2	2	1
Mir466i	0	1	0	0	1	1	0
Gm48624	0	1	0	1	1	1	0
Gm18859	0	0	0	0	0	1	0
Rala	48	141	125	81	137	82	75
Gm18362	0	2	0	1	2	0	0
Gm48754	1	0	0	0	2	0	1
Gm32699	3	3	4	3	8	2	3
Gm5628	4	8	3	7	4	4	6
A930027P06Rik	0	0	0	3	2	0	1
Yae1d1	66	103	106	94	142	123	85
Vdac3-ps1	15	12	17	5	28	10	17
Vps41	73	161	189	125	189	147	140
Amph	1	0	2	0	8	4	2
Tcrg-V4	1	0	0	1	0	0	0
Tcrg-V6	0	0	1	0	0	0	0
Tcrg-C1	0	0	1	0	3	1	1
Tcrg-C2	1	0	0	1	1	0	0
Trgv2	0	1	0	0	0	1	1
Tcrg-V1	1	0	0	1	1	1	1
Trgj4	0	1	0	0	0	0	0
Tcrg-C4	0	0	1	0	1	2	1
Stard3nl	71	98	91	78	144	110	89
Gm42683	0	0	0	0	1	1	0
Epdr1	119	193	176	182	415	497	293
Sfrp4	1200	1902	1931	1843	4409	3958	2741
A530099J19Rik	1	1	0	0	2	0	0
Gpr141	11	6	9	20	30	40	10
