	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Zfp433	11	16	10	11	32	25	22
Gm8249	1	3	0	0	1	2	1
Gm47529	0	0	0	0	1	0	0
Gm5173	4	0	3	1	2	4	2
Gm3055	2	3	3	4	4	6	7
Gm4767	4	8	4	7	5	7	3
Gm8264	0	0	0	0	0	0	1
Gm8137	0	0	0	0	0	0	0
Gm32687	3	5	2	8	8	13	7
Gm8274	0	0	1	0	0	1	0
Gm47539	0	0	0	0	0	0	0
Gm8153	0	0	0	2	0	0	1
Zfp781	5	7	4	5	10	7	9
Gm8290	3	2	1	0	1	3	2
Gm46194	0	1	0	0	2	1	0
Gm33378	1	6	2	1	5	1	2
Gm8170	3	1	2	0	3	2	3
Zfp873	19	32	20	15	37	30	21
BC024063	6	11	8	10	11	8	4
AU041133	13	20	23	16	28	11	22
Gm47572	4	3	2	2	3	3	2
Gm47573	2	1	2	2	1	2	3
AC158605.1	0	1	2	1	1	1	1
Zfp938	41	52	73	62	86	73	56
Gm4924	32	89	62	49	63	51	32
Gm8188	0	0	1	1	0	0	2
Ap3m1-ps	2	4	5	1	3	3	6
1190007I07Rik	25	37	44	32	53	40	36
Tdg	13	23	10	18	42	28	31
Glt8d2	1	1	2	1	3	0	0
Hcfc2	33	47	50	58	49	45	36
Nfyb	30	66	75	74	101	92	88
Gm47561	0	0	2	2	0	0	1
Txnrd1	62	99	113	109	143	119	110
Gm38560	2	2	4	0	2	0	0
Gm47073	0	0	1	1	0	0	0
Eid3	1	2	3	0	0	1	0
Gm4799	12	27	34	13	26	28	23
Chst11	77	174	197	111	135	105	116
Gm10773	7	19	21	20	14	2	13
1700025N21Rik	0	0	0	1	1	2	0
Gm23122	0	0	1	2	2	1	0
Slc41a2	7	8	7	10	8	6	10
Gm40723	0	0	0	0	1	0	0
D10Wsu102e	75	131	107	94	168	137	129
Aldh1l2	0	2	4	4	1	1	6
Washc4	54	106	112	86	123	117	86
Appl2	70	126	131	125	181	127	93
1500009L16Rik	35	44	55	49	77	56	49
Gm47247	1	0	0	0	1	1	0
Gm5425	79	132	150	103	162	180	170
Nuak1	12	10	25	26	11	18	17
Gm47962	0	2	5	1	2	2	3
Ckap4	105	179	188	158	158	157	121
Tcp11l2	48	72	66	62	97	75	70
Gm17249	3	4	15	7	12	6	4
Polr3b	43	47	50	41	63	48	36
Rfx4	0	0	0	0	0	1	0
Ric8b	33	60	50	43	68	49	41
Fhl4	0	0	0	2	1	2	1
Tmem263	58	92	95	88	83	93	80
Mterf2	3	17	7	5	9	12	13
Cry1	16	35	38	40	47	32	16
Gm8394	12	18	25	16	19	21	26
Btbd11	9	11	15	5	11	9	6
Pwp1	22	55	65	44	63	53	54
Prdm4	12	22	14	17	18	20	16
Ascl4	0	0	1	0	1	1	0
Rtcb	113	267	236	221	300	255	231
Bpifc	1	0	1	0	3	1	0
A230060F14Rik	0	1	1	0	1	0	0
Fbxo7	31	48	46	49	85	67	59
Syn3	0	2	2	4	4	4	3
Timp3	198	372	336	263	465	488	325
1810014B01Rik	24	39	45	26	41	43	37
Hsp90b1	887	1366	1644	1469	1635	1496	1550
Gm15344	0	0	1	0	2	1	0
Ttc41	4	6	8	7	10	3	3
Fabp3-ps1	1	4	7	4	7	3	3
