	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Gm19587	5	15	5	11	3	3
Tpp2	99	267	237	151	113	241
Mettl21c	4	9	10	5	7	1
Gm8251	0	0	0	3	0	1
Tex30	30	69	59	42	30	97
Kdelc1	44	116	70	57	44	45
Bivm	19	40	31	21	17	49
Ercc5	29	86	83	48	40	93
Txn-ps1	1	2	4	2	1	8
Gulp1	37	72	58	49	36	79
Gm37626	4	6	7	8	4	13
Gm16102	0	2	1	2	0	1
Gm38110	1	1	0	0	0	2
Gm5268	1	0	3	0	0	1
Col3a1	1013	2105	977	1230	973	2069
Col5a2	110	257	125	143	100	294
Gm38211	12	28	10	17	7	39
Gm8304	2	4	1	2	1	7
Wdr75	66	134	105	77	70	160
Gm5526	30	150	100	50	34	278
Gm5269	0	1	1	0	0	4
Slc40a1	71	130	98	80	53	167
Rpl23a-ps1	1	2	2	2	3	8
Gm18849	0	0	0	0	1	0
D0h7b	12	36	29	25	18	28
Gm8326	63	76	108	60	47	170
D0h7c	0	1	3	1	1	6
Slc39a10	51	106	79	70	37	126
Gm28151	3	14	19	12	7	24
Gm37393	0	1	0	0	0	0
Gm4852	0	0	0	0	0	0
Gm8337	22	41	29	19	22	78
Gm23240	8	1	7	10	11	5
Tmeff2	7	10	18	3	7	9
Gm28320	0	1	1	0	0	2
9330175M20Rik	0	0	1	0	0	0
Cavin2	64	170	163	77	66	166
0bp1	10	26	27	15	15	24
Gm28055	1	0	0	0	0	0
Myo1b	77	186	154	110	91	152
Gm29453	0	0	0	1	0	2
Gm28323	0	0	0	0	0	4
Gm8419	0	0	1	0	0	1
Gm8420	2	12	4	3	2	18
Stat4	0	2	3	2	2	3
Gm28177	0	0	0	0	0	0
Gm3940	1	6	3	2	1	18
Gm31812	2	5	6	0	0	1
Stat1	69	152	156	99	62	289
Gls	117	306	257	152	124	291
0b1	98	210	118	108	87	346
Rps27a-ps1	1	4	0	3	1	20
Gm553	0	2	2	1	0	2
Gm5527	1	5	0	3	5	4
Nemp2	14	24	21	10	3	13
Mfsd6	27	65	48	39	19	64
Gm29670	0	1	0	0	1	1
Inpp1	31	65	58	53	28	78
Hibch	50	125	108	63	55	95
Gm16107	1	2	2	1	1	0
1700019D03Rik	1	3	1	1	1	1
Pms1	2	20	9	2	4	5
Ormdl1	26	71	48	36	22	73
Osgepl1	24	44	46	28	18	44
Gm18800	0	0	0	0	0	0
Asnsd1	3	19	8	4	9	42
D0h7a	0	1	0	1	0	2
Stk17b	44	97	82	49	29	120
Hecw2	14	26	22	24	12	20
Gm37633	2	1	0	2	1	2
Gm25829	1	0	0	0	0	0
Ccdc150	0	0	1	1	0	2
Gtf3c3	50	95	74	38	39	88
Pgap1	11	30	12	14	8	32
Gm36955	1	2	1	2	2	0
Ankrd44	17	35	29	33	15	53
4930444A19Rik	0	0	0	0	1	0
Gm37370	0	2	1	0	0	0
Sf3b1	383	913	693	505	370	813
E330011M16Rik	2	2	2	0	0	2
Coq10b	41	84	80	56	28	111
Gm17971	7	11	6	10	1	37
Hspd1	901	2241	2158	1042	779	1749
Hspe1	1733	2622	4660	1717	1479	2125
Gm5147	0	1	0	0	0	1
Gm16581	0	3	2	0	3	2
Mob4	253	517	576	288	202	682
Gm6822	6	11	4	3	3	22
Rftn2	18	69	44	32	21	51
Gm10561	12	30	12	5	5	6
Mars2	15	37	18	18	20	43
Boll	0	0	1	0	2	0
Gm8292	190	174	310	187	194	284
Gm29138	0	2	0	0	0	3
Plcl1	9	35	23	12	13	37
Gm38056	2	9	7	7	2	0
Gm6644	10	30	24	13	14	11
Gm37382	1	0	1	2	0	1
Gm28900	0	2	5	2	1	2
Satb2	5	2	1	1	2	9
9130024F11Rik	0	1	2	0	0	0
4930558J18Rik	0	1	2	0	1	2
1700066M21Rik	9	18	10	13	13	44
Tyw5	25	45	61	36	27	65
Maip1	52	131	116	60	55	126
Spats2l	14	41	30	17	8	35
Kctd18	37	66	64	42	30	65
Sgo2a	20	35	22	19	22	16
Aox1	51	106	95	60	49	135
Aox3	14	18	21	14	11	8
Aox4	0	10	1	1	0	9
Aox2	5	20	10	4	5	12
Gm37607	11	18	18	8	9	26
Bzw1	660	1275	843	746	691	1502
Clk1	232	445	574	343	261	483
Ppil3	84	191	151	99	76	117
Nif3l1	67	157	134	70	74	128
Orc2	35	100	75	52	28	100
Gm23966	1	8	3	2	1	5
Gm15834	3	6	6	4	4	15
Fam126b	67	142	141	91	73	228
Ndufb3	410	735	953	417	386	533
Gm29389	1	0	0	0	0	2
Cbx3-ps7	6	13	7	7	5	1
Als2cr12	0	1	0	0	0	0
Gm20257	15	22	15	11	11	22
Cflar	162	264	259	191	136	284
Gm3841	0	0	0	0	0	2
Casp8	57	151	115	67	52	123
Gm37760	7	19	17	12	6	23
Gm28802	0	4	2	0	1	0
Trak2	40	107	78	61	38	133
Stradb	24	38	45	25	17	62
Tmem237	30	99	72	47	38	103
G730003C15Rik	3	8	4	4	3	4
Mpp4	0	0	0	0	0	0
Als2	21	55	36	26	16	37
Cdk15	4	12	5	4	2	15
Gm29016	0	3	0	0	0	0
Fzd7	17	55	36	26	19	35
Gm26813	0	0	0	0	0	0
Gm973	0	3	5	7	1	5
Sumo1	238	590	559	286	235	366
D430013B06Rik	2	5	7	4	2	9
Nop58	154	289	210	216	132	315
Snord70	4	1	3	1	1	0
Gm26287	0	0	0	2	0	1
Snord11	0	4	2	1	4	1
Bmpr2	214	369	547	216	176	553
Gm38125	6	9	26	6	5	24
Fam117b	32	105	74	44	33	132
Gm37531	5	14	11	8	2	18
Gm18829	1	0	0	2	1	1
Ica1l	4	5	4	5	0	6
Wdr12	47	124	116	81	59	115
Carf	29	43	43	40	29	61
Gm15464	21	18	14	21	15	37
