	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Gm3841	0	0	0	1	0	0
Casp8	57	151	115	96	108	112
Gm37760	7	19	17	15	19	11
Gm28802	0	4	2	1	2	0
Trak2	40	107	78	93	67	47
Stradb	24	38	45	43	47	25
Tmem237	30	99	72	69	66	63
G730003C15Rik	3	8	4	6	3	1
Mpp4	0	0	0	0	3	1
Als2	21	55	36	35	35	33
Cdk15	4	12	5	13	6	11
Gm29016	0	3	0	1	1	0
Fzd7	17	55	36	40	53	42
Gm26813	0	0	0	0	0	0
Gm973	0	3	5	4	2	1
Sumo1	238	590	559	624	600	546
D430013B06Rik	2	5	7	3	3	1
Nop58	154	289	210	229	206	146
Snord70	4	1	3	2	1	1
Gm26287	0	0	0	0	0	0
Snord11	0	4	2	0	0	2
Bmpr2	214	369	547	273	266	218
Gm38125	6	9	26	4	2	7
Fam117b	32	105	74	78	89	69
Gm37531	5	14	11	5	7	6
Gm18829	1	0	0	0	0	0
Ica1l	4	5	4	3	2	2
Wdr12	47	124	116	136	103	85
Carf	29	43	43	36	27	28
Gm15464	21	18	14	13	13	12
Nbeal1	88	169	144	142	128	93
Cyp20a1	44	114	64	73	88	70
6030460B20Rik	4	6	7	3	4	2
Abi2	63	101	65	87	66	61
Raph1	66	132	99	97	97	66
Gm11575	2	5	4	5	1	5
Eif4a-ps4	190	762	487	1003	869	721
Cd28	8	5	3	21	18	7
Gm11581	0	2	1	3	2	1
Ctla4	0	0	0	0	0	1
Rpl18-ps1	53	101	92	71	69	72
Gm11582	0	1	2	0	0	2
Icos	2	2	2	1	1	1
Rpl17-ps1	1	2	1	2	1	0
Gm11587	0	2	0	0	0	0
9530026F06Rik	0	0	0	1	0	1
Pard3b	22	39	33	23	27	15
Gm37205	1	1	0	0	0	0
Gm38012	2	4	3	0	4	0
Pard3bos1	2	1	1	0	0	0
Gm38075	0	5	2	0	0	3
Gm38351	2	1	0	1	2	0
Pard3bos3	0	0	0	0	2	0
Gm29084	0	0	1	0	1	0
Gm11599	13	88	63	94	71	63
Nrp2	99	234	197	165	158	157
Gm29083	1	1	1	0	1	0
Gm37121	6	13	7	9	4	4
Gm4208	0	0	0	0	0	1
Ino80d	69	126	154	121	133	98
Rps27-ps1	0	4	3	2	4	3
Ino80dos	9	4	13	15	9	8
Gm20342	28	32	48	30	30	14
Ndufs1	124	300	358	282	263	206
Gm24557	0	0	1	0	0	0
Eef1b2	1057	1630	1419	1122	1074	1035
Snora41	0	0	2	1	0	0
Gpr1	2	5	2	1	0	3
Zdbf2	1	2	2	0	2	2
Gm11605	1	3	3	3	3	1
Adam23	22	62	34	36	32	19
Mdh1b	0	0	0	0	0	2
Fastkd2	28	69	54	60	69	39
Gm13754	0	0	0	2	0	0
Gm13749	0	0	0	1	0	1
Klf7	86	210	170	165	151	120
Gm26649	8	2	5	3	2	1
Gm13750	3	5	2	2	2	4
Creb1	77	177	114	119	99	94
Mettl21a	38	63	67	61	55	49
Gm28982	0	1	1	0	1	0
Gm29152	3	9	2	3	2	3
2810408I11Rik	4	15	10	12	8	8
Ccnyl1	15	46	25	30	34	25
Fzd5	17	26	15	15	21	17
Gm38058	3	0	1	0	1	0
Plekhm3	16	39	39	32	33	26
Rpl10a-ps1	115	345	169	208	198	192
Gm24788	0	2	1	0	0	0
Akr1cl	2934	6130	7803	6218	5342	5179
Gm8550	21	14	26	11	2	7
Cryge	5	9	12	9	8	4
Crygc	0	1	1	0	1	3
Crygb	1	0	4	3	1	1
Gm7329	66	209	87	158	161	119
