	OvaryPrepubertalDHT1	OvaryPrepubertalDHT2	OvaryPrepubertalDHT3	OvaryPrepubertalDHT4	OvaryPrepubertalCNT2	OvaryPrepubertalCNT3	OvaryPrepubertalCNT4
Egfl7	305	104	307	257	298	309	123
Agpat2	114	17	91	34	34	52	43
Fam69b	6	5	3	15	5	4	1
Snora17	0	0	0	0	2	1	0
Snhg7os	0	0	0	1	0	0	0
Gm13359	0	0	0	0	0	0	0
Surf6	68	33	71	81	55	46	31
Med22	68	29	58	63	48	47	21
Rpl7a	1456	714	1206	1637	1758	1698	1070
Gm23969	4	5	3	4	18	12	8
Surf1	162	81	128	198	159	106	95
Surf2	111	57	112	137	95	103	52
Surf4	472	162	410	382	327	327	218
Stkld1	0	0	1	0	1	1	0
Rexo4	72	26	55	82	48	37	27
Adamts13	0	11	0	0	0	0	5
Cacfd1	136	44	104	149	69	69	45
Slc2a6	4	5	2	8	1	2	1
Gm13397	0	0	0	0	0	0	0
Gm13398	0	0	1	1	1	0	0
Adamtsl2	18	10	15	21	12	6	6
Fam163b	0	1	1	1	0	0	0
Sardh	60	31	45	82	46	30	18
Sardhos	2	0	1	0	0	0	0
Vav2	58	37	46	58	32	25	12
AA645442	1	0	1	2	1	0	0
Gm24049	2	2	3	2	3	1	1
Brd3os	19	11	18	29	17	9	13
Brd3	226	165	198	345	190	174	69
Mir7578	0	0	0	0	0	0	0
Wdr5	86	32	47	88	50	32	32
Gm25541	1	0	0	2	3	1	1
Gm13421	2	1	0	7	6	8	1
Rxra	94	53	82	113	56	44	31
2810430I11Rik	4	1	3	3	2	4	1
Col5a1	230	45	174	78	134	126	83
Gm13372	1	0	0	0	0	0	0
F730016J06Rik	0	0	0	1	0	0	0
Olfm1	27	11	19	27	25	26	14
Gm13373	2	0	0	0	0	0	1
Ppp1r26	14	14	11	29	9	8	6
1700007K13Rik	8	14	8	22	12	5	6
Mrps2	63	23	53	70	48	60	35
Rpsa-ps9	90	55	69	94	60	82	81
Gbgt1	1	1	4	4	6	3	0
Gm10134	5	0	5	0	1	0	5
Ralgds	42	24	33	52	56	42	24
Gm13381	0	0	0	0	1	1	0
Gtf3c5	52	27	39	60	38	31	26
Tsc1	76	32	62	90	56	56	36
Spaca9	5	2	0	5	1	5	0
Ak8	1	2	1	5	0	1	1
Gtf3c4	46	28	37	43	40	37	18
Ddx31	20	15	20	38	24	20	11
Cfap77	4	2	6	2	2	2	3
Gm13394	337	91	286	225	282	300	193
Ttf1	91	37	64	99	68	54	22
Setx	84	53	69	98	85	75	42
Ntng2	4	0	0	2	2	3	0
6530402F18Rik	9	1	8	4	6	3	4
Med27	108	49	64	88	49	48	34
